Title, Source, Date, Content, URL, Category, Classification, Relevance
Local netizen points out fivefold increase of COVID-19 cases in Florida after primary election as evidence for SG govt to delay GE,Theonlinecitizen.com,31/3/2020,Prime Minister Lee Hsien Loong said on 27 March that it’s best to give six months for the whole COVID-19 situation to settle first before holding the next General Election (GE); adding that the United States (US) carried on with primary elections in most of i…,https://www.theonlinecitizen.com/2020/03/31/local-netizen-points-out-fivefold-increase-of-covid-19-cases-in-florida-after-primary-election-as-evidence-for-sg-govt-to-delay-ge/,Singapore,politics - election,100
FB user points out fivefold increase of COVID-19 cases in Florida after primary election as evidence for SG govt to delay GE,Theonlinecitizen.com,31/3/2020,Prime Minister Lee Hsien Loong said on 27 March that it’s best to give six months for the whole COVID-19 situation to settle first before holding the next General Election (GE); adding that the United States (US) carried on with primary elections in most of i…,https://www.theonlinecitizen.com/2020/03/31/facebook-user-points-out-fivefold-increase-of-covid-19-cases-in-florida-after-primary-election-as-evidence-for-sg-govt-to-delay-ge/,Singapore,politics - election,100
Jakarta Governor announces 283 suspected and confirmed COVID-19 victims buried in Jakarta,Theonlinecitizen.com,31/3/2020,In a press conference at City Hall on Monday (30 March) Jakarta Governor; Mr Anies Baswedan confirmed 283 suspected and confirmed COVID-19 cases buried in Jakarta. Mr Anies said the data was obtained from the Landscaping and City Forest Agency (Dinas Pertaman…,https://www.theonlinecitizen.com/2020/03/31/jakarta-governor-announces-283-suspected-and-confirmed-covid-19-victims-buried-in-jakarta/,World,,0
Various Singaporean neighbourhoods took part in the #clapforSGUnited movement,Theonlinecitizen.com,31/3/2020,Yesterday (30 March); a special movement had been called for; inviting all Singaporeans to clap from their homes to appreciate and applaud the people in service like the doctors; nurses; carers; cleaners and supermarket staff. This invitation was created by a…,https://www.theonlinecitizen.com/2020/03/31/various-singaporean-neighbourhoods-took-part-in-the-clapforsgunited-movement/,Singapore,,0
Hyundai plans to build smart mobility lab in Singapore,Theonlinecitizen.com,31/3/2020,According to Hyundai Motor (Hyundai) on Tuesday (31 March); an open innovation lab will be built in Singapore in order to develop future mobility technologies so as to facilitate growth into world markets. The South Korean automaker embarked on this initiativ…,https://www.theonlinecitizen.com/2020/03/31/hyundai-plans-to-build-smart-mobility-lab-in-singapore/,Singapore,economy; business and finance - manufacturing and engineering - automotive equipment,100
Workers’ Party to construct more infrastructure to improve the safety of residents at HDB Bedok Reservoir Road,Theonlinecitizen.com,31/3/2020,In a Facebook post on Monday (30 March); Workers’ Party (WP) chief Pritam Singh said the work to build additional infrastructure at Block 603 Bedok Reservoir Road to ensure the safety of the residents has started. Mr Singh said in his post that the move to ad…,https://www.theonlinecitizen.com/2020/03/31/workers-party-to-construct-more-infrastructure-to-improve-the-safety-of-residents-at-hdb-bedok-reservoir-road/,Singapore,labour - employment,100
Face mask compulsory for Austrian shoppers to wear in supermarkets; says government,Theonlinecitizen.com,31/3/2020,With the rapidly evolving situation of COVID-19; it is now compulsory for shoppers in Austria to wear a basic face mask in supermarkets to curb the transmission of COVID-19 as urged by Austria government. Austria’s Chancellor Sebastian Kurz said on Monday (30…,https://www.theonlinecitizen.com/2020/03/31/face-mask-compulsory-for-austrian-shoppers-to-wear-in-supermarkets-says-government/,World,politics - government,100
Netizen notes that nurses in Singapore are underpaid compared to counterparts in other Asian economies; now is the perfect time to highlight the issue,Theonlinecitizen.com,31/3/2020,Under the current circumstances; awareness is being raised around the world about just how crucial healthcare workers are for the survival of a nation. Like in many countries; heartfelt expressions of gratitude are flowing in for doctors; nurses; and other he…,https://www.theonlinecitizen.com/2020/03/31/netizen-notes-that-nurses-in-singapore-are-underpaid-compared-to-counterparts-in-other-asian-economies-now-is-the-perfect-time-to-highlight-the-issue/,Business,health - medical staff,100
Prosecution’s failure to call material witnesses to rebut accused’s defence saves accused from death penalty,Theonlinecitizen.com,31/3/2020,The Court of Appeal has overturned the conviction of a death-row inmate on two capital drug trafficking charges on Tuesday (31st March) morning; finding that the Prosecution’s failure to call material witnesses to rebut his defence effectively undermined thei…,https://www.theonlinecitizen.com/2020/03/31/prosecutions-failure-to-call-material-witnesses-to-rebut-accuseds-defence-saves-accused-from-death-penalty/,World,social issue - social issues (general) - death penalty policies,100
MPA allows seafarers movement on certain conditions,Theonlinecitizen.com,31/3/2020,Singapore has issued a way out which help address the friction in crew change among seafarers which was caused by the COVID-19 pandemic. Due to countries implementing lockdown in order to curb the spread of the pandemic; thousands of seafarers are not able to…,https://www.theonlinecitizen.com/2020/03/31/mpa-allows-seafarers-movement-on-certain-conditions/,Singapore,health - epidemic and plague,100
LTA to reduce ERP rates at most gantries in the island; starting from 6 April,Theonlinecitizen.com,31/3/2020,As the traffic volume in Singapore has seen some reduction following the stringent measures against COVID-19 pandemic; Land Transport Authority (LTA) on Tuesday (31 March) announced that it will reduce the Electronic Road Pricing (ERP) rates at 96% of gantrie…,https://www.theonlinecitizen.com/2020/03/31/lta-to-reduce-erp-rates-at-most-gantries-in-the-island-starting-from-6-april/,Singapore,economy; business and finance - transport - road transport,100
SGC: Tripartite partnership can help preserve Singaporean workforce during pandemic,Theonlinecitizen.com,31/3/2020,As the impact of the COVID-19 pandemic worsens; the more than 8;000 multinational firms in Singapore may receive directives pertaining to retrenchments from their global headquarters. However; Alexander Melchers; who is a council member of Singaporean-German …,https://www.theonlinecitizen.com/2020/03/31/sgc-tripartite-partnership-can-help-preserve-singaporean-workforce-during-pandemic/,Singapore,health - epidemic and plague,100
National reserves for COVID-19 bailouts belong to Singaporeans regardless of which party is in charge,Theonlinecitizen.com,31/3/2020,I applaud the government for its quick announcements of financial packages to help businesses and individuals who will be affected by the global COVID-19 outbreak. There is no doubt that this health crisis will severely affect the economy. Not just the local …,https://www.theonlinecitizen.com/2020/03/31/national-reserves-for-covid-19-bailouts-belong-to-singaporeans-regardless-of-which-party-is-in-charge/,Singapore,economy; business and finance - macro economics,100
Tenanted businesses in Singapore need assistance too,Theonlinecitizen.com,31/3/2020,According to reports; the Singapore government has set aside another additional 48 billion to support its businesses and households after official preliminary estimates indicate that the Southeast Asian economy is shrinking by more than expected in the first …,https://www.theonlinecitizen.com/2020/03/31/tenanted-businesses-in-singapore-need-assistance-too/,Business,economy; business and finance,100
Parc Emily Condo suspends facilities; implements social distancing and residents have no say to it; says concerned resident,Theonlinecitizen.com,31/3/2020,In light of the Government’s imposition of stricter measures amid the COVID-19 in Singapore; Parc Emily Condominium had suspended some of its facilities and implemented social distancing measures with immediate effect. On 25 March; the condominium management …,https://www.theonlinecitizen.com/2020/03/31/parc-emily-condo-suspends-facilities-implements-social-distancing-and-residents-have-no-say-to-it-says-concerned-resident/,Singapore,,0
Postponed Tokyo Olympics to open July 23 next year,Theonlinecitizen.com,30/3/2020,by Hiroshi Hiyama The Tokyo Olympics will begin on July 23 next year; organisers said on Monday; after the coronavirus forced the historic decision to postpone the Games until 2021. The announcement comes less than a week after the organisers were forced to d…,https://www.theonlinecitizen.com/2020/03/30/postponed-tokyo-olympics-to-open-july-23-next-year/,World,sport - sports event - World games,100
France urges companies to not pay dividends,Theonlinecitizen.com,30/3/2020,France stepped up Monday its calls for firms using state aid to keep afloat during the coronavirus crisis to not pay out dividends to shareholders this year. “I call on all companies who are putting staff on partial unemployment; that is having their wages pa…,https://www.theonlinecitizen.com/2020/03/30/france-urges-companies-to-not-pay-dividends/,Business,economy; business and finance - macro economics - business enterprises,100
35 additional cases of COVID-19 infection; 14 unlinked local cases and two new clusters,Theonlinecitizen.com,30/3/2020,As of 30 March 2020; 12 pm; the Ministry of Health (MOH) has confirmed and verified an additional 35 cases of COVID-19 infection in Singapore; of which nine are imported and 26 are local cases who have no recent travel history abroad. This makes a total of 87…,https://www.theonlinecitizen.com/2020/03/30/35-additional-cases-of-covid-19-infection-14-unlinked-local-cases-and-two-new-clusters/,Singapore,health - disease,100
Japanese comedian Ken Shimura passes away due to complications caused by COVID-19,Theonlinecitizen.com,30/3/2020,Veteran Japanese comedian Ken Shimura on Mon (30 Mar) passed away due to complications arising from the novel coronavirus (COVID-19). Shimura was hospitalized on 20 Mar after getting a fever and being diagnosed with severe pneumonia. Three days later; he test…,https://www.theonlinecitizen.com/2020/03/30/japanese-comedian-ken-shimura-passes-away-due-to-complications-caused-by-covid-19/,World,health - disease,100
Spain announces 812 virus deaths in 24 hours; total 7;340,Theonlinecitizen.com,30/3/2020,Spain confirmed another 812 deaths in 24 hours from the coronavirus on Monday; bringing the total number of deaths to 7;340; according to health ministry figures. It is the first decline in the number of deaths in a 24-hour period since Thursday in Spain; whi…,https://www.theonlinecitizen.com/2020/03/30/spain-announces-812-virus-deaths-in-24-hours-total-7340/,World,social issue - demographics,100
HDB to upgrade 230;000 flats with more contemporary and better quality fittings,Theonlinecitizen.com,30/3/2020,Residents whose Housing Development Board (HDB) flats are eligible for upgrading under the extended Home Improvement Programme (HIP) can expect to see new and better quality fittings in their homes; said HDB on Monday (30 March). Under the extended HIP; about…,https://www.theonlinecitizen.com/2020/03/30/hdb-to-upgrade-230000-flats-with-more-contemporary-and-better-quality-fittings/,Singapore,lifestyle and leisure - lifestyle (house and home),100
Medical experts from China and S. Korea underline importance of wearing masks during COVID-19 pandemic — contrary to WHO’s recommendation,Theonlinecitizen.com,30/3/2020,Wearing masks in the time of the novel coronavirus (COVID-19) outbreak — contrary to the World Health Organization (WHO)’s advisory — is crucial in reducing the risk of spreading the virus; two medical experts opined. George Gao; director-general of the Chine…,https://www.theonlinecitizen.com/2020/03/30/medical-experts-from-china-and-s-korea-stress-importance-of-wearing-masks-during-covid-19-pandemic-contrary-to-whos-recommendation/,World,health - disease - virus diseases,100
High Court dismisses all three Section 377A challenges,Theonlinecitizen.com,30/3/2020,The High Court on Mon (30 Mar) dismissed three separate constitutional challenges brought against Section 377A of the Penal Code which criminalises consensual sex between men. Delivering his judgement in chambers today; Justice See Kee Oon — in a case summary…,https://www.theonlinecitizen.com/2020/03/30/high-court-dismisses-all-three-section-377a-challenges/,World,crime; law and justice - judiciary (system of justice),100
57-year old seafood seller identified as first from Huanan Market to test positive for COVID-19,Theonlinecitizen.com,30/3/2020,According to leaked documents viewed by Wall Street Journal; a Chinese woman named Wei Guixian has been identified as the first person from the Huanan Market in Wuhan to test positive for COVID-19. The woman is apparently a live-seafood seller at the market w…,https://www.theonlinecitizen.com/2020/03/30/57-year-old-seafood-seller-identified-as-first-from-huanan-market-to-test-positive-for-covid-19/,World,,0
Moscow begins lockdown; as Russia regions prepare for confinement,Theonlinecitizen.com,30/3/2020,Moscow on Monday imposed a lockdown in a bid to slow the spread of the coronavirus as Russian Prime Minister Mikhail Mishustin asked regional authorities to make similar preparations. The enforcement of the tough new rules; which were suddenly announced by Mo…,https://www.theonlinecitizen.com/2020/03/30/moscow-begins-lockdown-as-russia-regions-prepare-for-confinement/,World,,0
WHO refused to acknowledge Taiwan; praises Singapore instead,Theonlinecitizen.com,30/3/2020,Many world leaders have lauded Taiwan for its epidemic prevention measures and some countries even followed Taiwan’s methods in curbing the spread of the COVID-19 virus. One of the countries was New Zealand; as Prime Minister Jacinda Ardern followed the Taiwa…,https://www.theonlinecitizen.com/2020/03/30/who-refused-to-acknowledge-taiwan-praises-singapore-instead/,Singapore,health - disease,100
National Wages Council: 10% cut in basic pay or lower MVC; if wage cuts necessary,Theonlinecitizen.com,30/3/2020,In the event that wages need to be reduced; it has been suggested by the National Wages Council (NWC) that the Monthly Variable Component (MVC) be adjusted downwards. How much adjustment depends on the company’s key performance indicators; the firm’s situatio…,https://www.theonlinecitizen.com/2020/03/30/national-wages-council-10-cut-in-basic-pay-or-lower-mvc-if-wage-cuts-necessary/,Business,labour - wage and pension,100
Columbia Sportswear’s CEO takes pay cut on own salary while continuing to pay employees amid COVID-19 crisis,Theonlinecitizen.com,30/3/2020,The president and Chief Executive Officer (CEO) of Columbia Sportswear Company Tim Boyle has taken the initiative to cut his own salary down to to $10;000 (S$14;262) a year while still regularly paying his employees in the midst of COVID-19 crisis. On top of …,https://www.theonlinecitizen.com/2020/03/30/columbia-sportswears-ceo-takes-pay-cut-on-own-salary-while-continuing-to-pay-employees-amid-covid-19-crisis/,Business,economy; business and finance - economy (general),100
PM Lee cautions public about fake COVID-19 email allegedly sent by him asking for “contribution”,Theonlinecitizen.com,30/3/2020,An email that has been making rounds allegedly sent by Prime Minister Lee Hsien Loong encouraging people to give their “contribution and thought” on the current COVID-19 situation in Singapore is fake; said Mr Lee in a Facebook post today (30 March). He also …,https://www.theonlinecitizen.com/2020/03/30/pm-lee-cautions-public-about-fake-covid-19-email-allegedly-sent-by-him-asking-for-contribution/,Singapore,arts; culture and entertainment - internet,100
Impossible Foods launches Earth Month campaign to highlight Singapore’s environmental impact,Theonlinecitizen.com,30/3/2020,On Monday (30 March); Impossible Foods; a planet-first food tech company; announced that it is celebrating Earth Month with a new campaign that aims to showcase the collective impact of choosing a plant-based diet; and how individual food choices can reduce S…,https://www.theonlinecitizen.com/2020/03/30/impossible-foods-launches-earth-month-campaign-to-highlight-singapores-environmental-impact/,Singapore,health - health treatment - diet,100
German Finance Minister committed suicide for worrying about the economic fallout caused by COVID-19 pandemic,Theonlinecitizen.com,30/3/2020,With the COVID-19 pandemic impacting various countries across the globe; people are seeing an economic fallout following the closures of businesses and services. Thomas Schaefer; a Finance Minister of the Hesse state in Germany; was reported to have committed…,https://www.theonlinecitizen.com/2020/03/30/german-finance-minister-committed-suicide-for-worrying-about-the-economic-fallout-caused-by-covid-19-pandemic/,Business,,0
Lightning never strikes twice? For Dr Tan Cheng Bock; it could even be thrice,Theonlinecitizen.com,30/3/2020,Dr Tan Cheng Bock has been compared with Dr Mahathir Mohamad. But the one he more closely resembles – in spirit and in destiny – is Anwar Ibrahim. Anwar has come so near yet so far many times. His highest political aspirations have been cruelly foiled time an…,https://www.theonlinecitizen.com/2020/03/30/lightning-never-strikes-twice-for-dr-tan-cheng-bock-it-could-even-be-thrice/,Singapore,,0
Bethany Church Singapore: Dog abuse case does not relate to the church or its activities,Theonlinecitizen.com,30/3/2020,On 24 March; Singapore’s volunteer group for dogs’ welfare; Chained Dog Awareness in Singapore (CDAS); publicised an open letter on Facebook with an intention to seek justice for a senior dog – Angel – that had been euthanised by its owner. The open letter wa…,https://www.theonlinecitizen.com/2020/03/30/bethany-church-singapore-dog-abuse-case-does-not-relate-to-the-church-or-its-activities/,Singapore,crime; law and justice - judiciary (system of justice),100
Monetary policy and the S$NEER,Theonlinecitizen.com,30/3/2020,On Monday (30 March); the Monetary Authority of Singapore (MAS) stated that it will set the rate of the appreciation of SGD to zero per cent. This new appreciation rate is at the prevailing lower level of the exchange policy rate band; in preparation for the …,https://www.theonlinecitizen.com/2020/03/30/monetary-policy-and-the-sneer/,Business,economy; business and finance - finance (general) - money and monetary policy,100
Govt should “exercise restraint” in deploying “institutional prerogatives” when wanting to call for early general elections; says Prof Donald Low,Theonlinecitizen.com,30/3/2020,Senior Lecturer and Professor of Practice at the Hong Kong University of Science and Technology Prof Donald Low commented that the ruling government should “exercise restraint” in deploying its institutional prerogatives when it comes to their motives to call…,https://www.theonlinecitizen.com/2020/03/30/govt-should-exercise-restraint-in-deploying-institutional-prerogatives-when-wanting-to-call-for-early-general-elections-says-prof-donald-low/,World,education - teaching and learning - teachers,100
Manpower Ministry to consider appeals from self-employed and freelancers who do not qualify for COVID-19 relief scheme,Theonlinecitizen.com,30/3/2020,The Ministry of Manpower (MOM) will consider appeals raised by self-employed and freelancers who do not qualify for the scheme that was introduced as part of the Resilience Budget to help those who are affected by the COVID-19 pandemic in Singapore; said Manp…,https://www.theonlinecitizen.com/2020/03/30/manpower-ministry-to-consider-appeals-from-self-employed-and-freelancers-who-do-not-qualify-for-covid-19-relief-scheme/,Business,labour - employment,100
SIA CEO now says to take 30% pay cut after Temasek’s bailout; his pay was $1.4m with total $5.5m pkg last FY,Theonlinecitizen.com,30/3/2020,Last Thursday (26 Mar); Singapore Airlines (SIA) announced that it had secured up to S$19 billion of funding with the majority coming from Temasek Holdings; to help see it through the coronavirus crisis as demands for air travel dipped. State-fund Temasek Hol…,https://www.theonlinecitizen.com/2020/03/30/sia-ceo-now-says-to-take-30-pay-cut-after-temaseks-bailout-his-pay-was-1-4m-with-total-5-5m-pkg-last-fy/,Business,,0
STI slid 2.4%; shares fell following monetary easing by MAS,Theonlinecitizen.com,30/3/2020,Following the adjustment on the country’s exchange rate-based monetary policy on Monday (30 March) morning by the Monetary Authority of Singapore (MAS); Singapore stocks started off the morning weaker. The SGD has been restored to a neutral stance by MAS; all…,https://www.theonlinecitizen.com/2020/03/30/sti-slid-2-4-shares-fell-following-monetary-easing-by-mas/,Business,economy; business and finance - finance (general) - money and monetary policy,100
Singaporeans invited to clap for frontliners tonight at 8pm to show appreciation,Theonlinecitizen.com,30/3/2020,In light of the COVID-19 pandemic; the people in the frontlines have been risking their lives to protect the people and combat the outbreak. British expat in Singapore; Martin Verga; invited all Singaporeans to a special movement that will take place in our h…,https://www.theonlinecitizen.com/2020/03/30/singaporeans-invited-to-clap-for-frontlines-tonight-at-8pm-to-show-appreciation/,Singapore,health - epidemic and plague,100
67% disagree to holding elections during the pandemic; according to poll by Lianhe Zaobao,Theonlinecitizen.com,30/3/2020,According to a poll by Chinese daily Lianhe Zaobao on their website; 67.55 percent of 11;635 people disagreed on holding an election during the ongoing coronavirus pandemic as it would be difficult to hold rallies given the current restrictions in place to cu…,https://www.theonlinecitizen.com/2020/03/30/67-disagree-to-holding-elections-during-the-pandemic-according-to-poll-by-lianhe-zaobao/,Singapore,sport - motor rallying,100
PAP’s eagerness for a general election during global pandemic may create unhelpful speculation for the government,Theonlinecitizen.com,30/3/2020,The COVID-19 spread in Singapore appears to be on the up with reports that an additional 42 cases have been reported in Yishun. Of these new cases; 18 are local with no recent travel history which could indicate the possibility of a community spread. On top o…,https://www.theonlinecitizen.com/2020/03/30/paps-eagerness-for-a-general-election-during-global-pandemic-may-create-unhelpful-speculation-for-the-government/,Singapore,lifestyle and leisure - tourism,100
Over 7;500 hotel rooms in S’pore booked by govt to accommodate returnees serving Stay-Home Notices,Theonlinecitizen.com,30/3/2020,Over 7;500 hotel rooms in Singapore have been booked by the Government to accommodate residents who have been served the mandatory 14-day Stay-Home Notices (SHNs). Branding the move “a massive response” to the spike in confirmed COVID-19 cases in Singapore; p…,https://www.theonlinecitizen.com/2020/03/30/over-7500-hotel-rooms-in-spore-booked-by-govt-to-accommodate-returnees-serving-stay-home-notices/,Singapore,economy; business and finance - tourism and leisure - hotel and accommodation,100
